date,date,GS_open,GS_high,GS_low,GS_close,GS_aclose,GS_volume,MS_open,MS_high,MS_low,MS_close,MS_aclose,MS_volume,JPM_open,JPM_high,JPM_low,JPM_close,JPM_aclose,JPM_volume,WFC_open,WFC_high,WFC_low,WFC_close,WFC_aclose,WFC_volume,C_open,C_high,C_low,C_close,C_aclose,C_volume,BAC_open,BAC_high,BAC_low,BAC_close,BAC_aclose,BAC_volume,GS_SMA7,GS_SMA21,GS_EMA21,GS_MACD_Hist,GS_MACD,GS_MACD_sig,GS_Lower,GS_Upper,GS_Middle,GS_SlowD,GS_SlowK,GS_RSI,GS_ADX,GS_CCI,GS_aroon_up,GS_aroon_down,GS_AD,GS_OBV
1999-12-17,1999-12-17,80.19,80.56,78.44,80.19,62.5844886536,542100.0,126.0,131.88,125.88,128.06,36.470400509099996,3378600.0,73.25,74.88,72.06,72.75,24.9818415977,6655667.0,39.94,39.94,39.94,39.94,10.9965649236,6781800.0,53.94,54.94,53.44,54.5,252.114716899,13310250.0,50.0,50.44,48.38,48.75,13.3769106878,12621200.0,62.5477,61.445,61.1742,-0.2096,1.1918,1.4014,58.2218,64.5543,61.3881,33.0107,31.7277,58.4142,32.189,43.7838,12.0,0.0,1773896.9055,7640300.0
1999-12-20,1999-12-20,82.0,83.63,80.75,81.88,63.903453435,1302600.0,131.75,132.62,128.25,130.33,37.1168772322,2315700.0,73.38,73.94,72.25,72.25,24.8101450919,4137067.0,39.94,40.94,39.88,40.66,11.1948004455,3656700.0,54.5,55.38,53.25,54.42,251.74464025,9650250.0,48.94,49.63,47.94,48.0,13.1711120618,6203500.0,62.7573,61.5078,61.4223,-0.1123,1.261,1.3733,58.1371,64.7905,61.4638,32.7261,44.2862,61.6881,32.293,134.118,100.0,0.0,1493476.0722,8942900.0
1999-12-21,1999-12-21,80.63,83.0,79.5,80.94,63.1698280536,1189900.0,128.5,131.5,126.75,128.88,36.7039295456,1874300.0,72.38,76.5,72.12,75.0,25.7544758739,5240000.0,40.31,41.31,39.5,40.0,11.0130845504,5215700.0,53.06,56.0,53.0,56.0,259.053654061,11449500.0,47.81,51.06,47.63,49.31,13.5305736618,7993100.0,62.6391,61.545,61.5812,-0.1047,1.2424,1.3471,58.1165,64.9085,61.5125,44.3939,57.1678,58.9101,31.6787,88.0679,96.0,36.0,1282693.7864,7753000.0
1999-12-22,1999-12-22,81.0,81.38,79.13,79.69,62.19426238689999,526800.0,130.0,130.38,128.88,129.88,36.9887210536,1013300.0,75.0,75.63,74.0,74.88,25.7132687125,2252267.0,40.0,40.69,40.0,40.44,11.1342284805,2767100.0,55.44,55.44,54.31,55.0,254.42769595299998,7947750.0,49.5,50.13,48.44,48.5,13.3083111458,6098100.0,62.3749,61.545,61.6369,-0.169,1.1358,1.3049,58.2024,64.9741,61.5882,51.3161,52.4943,55.3411,30.9034,41.9883,92.0,32.0,1018123.1198,7226200.0
1999-12-23,1999-12-23,81.0,82.44,80.69,81.0,63.216655205600006,532000.0,131.0,132.0,130.81,131.5,37.450083296500004,1097700.0,76.25,77.94,76.06,77.5,26.6129584031,2891600.0,40.81,41.56,40.31,41.5,11.426075221,2716100.0,55.81,56.31,55.63,55.63,257.342049561,7540500.0,49.19,49.5,49.13,49.38,13.5497815336,5265000.0,62.6257,61.6658,61.7805,-0.1471,1.121,1.2681,58.3458,65.1328,61.7393,51.7285,45.5235,58.1993,30.5611,84.7023,88.0,28.0,674603.1197,7758200.0
1999-12-27,1999-12-27,80.5,82.88,80.5,82.06,64.043934891,389200.0,132.5,134.75,131.62,131.62,37.484258277399995,1326800.0,77.5,79.19,76.5,76.5,26.269565391399997,2541200.0,41.06,42.0,40.81,40.88,11.2553724105,2540600.0,56.06,56.63,54.38,54.5,252.114716899,6745500.0,49.75,50.63,49.0,49.0,13.4455102298,5414500.0,62.9179,61.849,61.9863,-0.0845,1.1625,1.247,58.4537,65.3955,61.9246,49.0537,49.1433,60.4073,30.3962,93.9944,84.0,24.0,795614.8845,8147400.0
1999-12-28,1999-12-28,82.06,85.69,82.06,85.0,66.3384653392,821800.0,132.12,135.44,132.12,134.25,38.2332599434,1066900.0,76.69,77.37,76.31,76.44,26.248961810700003,1502200.0,41.13,41.44,40.75,41.19,11.340723815799999,2488200.0,54.56,55.63,54.38,55.5,256.740675007,4695000.0,49.06,49.69,49.0,49.31,13.5305736618,3632700.0,63.6359,62.1348,62.382,0.0943,1.3649,1.2706,58.8111,65.8576,62.3344,54.2132,67.9728,65.8029,31.0948,174.1386,100.0,20.0,1304995.0497,8969200.0
1999-12-29,1999-12-29,85.5,88.19,85.38,88.0,68.6798229395,794800.0,134.0,140.19,133.94,138.94,39.5689321157,969200.0,77.19,78.19,76.94,77.56,26.6335619838,1533467.0,41.25,41.44,40.25,40.56,11.167267734100001,2203000.0,55.63,55.81,54.63,54.88,253.87258098,4152000.0,49.5,50.25,49.19,49.88,13.6869806176,4057600.0,64.5066,62.6365,62.9545,0.3393,1.6946,1.3554,58.7475,66.9257,62.8366,67.0938,84.1652,70.2571,32.3304,248.1165,100.0,16.0,1992313.1992,9764000.0
1999-12-30,1999-12-30,90.0,92.88,89.56,92.19,71.9499190544,969200.0,138.94,142.38,138.88,141.25,40.2268004991,832200.0,77.56,78.69,76.75,78.06,26.8052584896,1277400.0,40.63,41.13,40.5,40.63,11.1865406321,1328800.0,55.0,55.5,54.31,55.31,255.86174296599998,3805500.0,50.0,50.88,49.75,50.69,13.909243133599999,3368100.0,65.6561,63.2705,63.7723,0.6713,2.1945,1.5232,58.03,68.8919,63.4609,82.025,93.937,75.1294,34.2786,315.3383,100.0,12.0,2558652.9582,10733200.0
1999-12-31,1999-12-31,91.94,94.81,91.5,94.19,73.5108241212,383500.0,141.25,142.88,140.5,142.75,40.653987760999996,285000.0,78.0,78.38,77.69,77.69,26.6782030753,773600.0,40.56,40.63,40.13,40.44,11.1342284805,1178400.0,55.25,55.94,54.88,55.69,257.619607048,1953000.0,50.56,50.94,50.0,50.19,13.7720440496,2643800.0,67.1334,63.9395,64.6576,0.93,2.6857,1.7557,57.3131,70.9113,64.1122,91.3671,95.9989,77.0611,36.3409,269.3825,100.0,8.0,2798485.2845,11116700.0
2000-01-03,2000-01-03,94.19,94.19,87.75,88.31,68.92176322479999,1822600.0,137.25,138.0,132.12,135.0,38.4468535743,2654500.0,74.75,75.38,72.12,72.87,25.0230487591,8012800.0,40.31,40.38,38.0,39.12,10.7707966903,4518500.0,55.63,55.63,52.0,53.0,245.17577973599998,12614250.0,50.25,50.25,48.0,48.44,13.291847255699999,6852900.0,68.0945,64.3413,65.0452,0.7345,2.6738,1.9393,57.4609,71.4854,64.4732,89.8801,79.7045,61.8513,36.447,148.5782,96.0,4.0,1292859.1975,9294100.0
2000-01-04,2000-01-04,87.0,87.5,82.25,82.75,64.5824471391,1647700.0,132.0,132.25,123.0,125.0,35.5989384948,3117200.0,70.62,71.19,69.19,70.88,24.4804878007,7815600.0,37.25,37.69,36.0,37.19,10.2394153607,7618600.0,52.0,52.19,49.75,49.75,230.141415885,18024000.0,47.75,47.94,44.94,45.56,12.501580532,13646700.0,68.2896,64.4784,65.0032,0.2789,2.2879,2.0091,57.979,71.4161,64.6976,75.0865,49.556,51.5003,34.607,25.2406,92.0,0.0,-40993.1834,7646400.0
2000-01-05,2000-01-05,80.88,81.88,79.0,79.69,62.19426238689999,1516600.0,124.0,124.19,117.25,120.44,34.3002892185,3872100.0,70.25,72.56,69.0,70.44,24.32852089,5809667.0,37.0,37.75,36.06,37.06,10.203622835900001,4114100.0,50.88,52.0,49.5,51.75,239.393332101,13068750.0,45.06,46.44,44.5,46.06,12.638779615999999,11427800.0,68.0254,64.5784,64.7478,-0.1921,1.769,1.961,57.8727,71.4249,64.6488,49.4607,19.1216,46.853,32.2521,-55.0975,88.0,0.0,-830889.0167,6129800.0
2000-01-06,2000-01-06,78.63,84.5,78.63,82.25,64.1922208724,1845100.0,120.38,124.94,120.25,122.75,34.958157601799996,3293000.0,70.12,72.94,69.75,71.44,24.6739002325,5579467.0,37.06,39.0,36.94,38.44,10.5835742529,4163400.0,51.31,54.69,51.25,54.25,250.958227372,13974000.0,46.94,50.0,46.75,50.0,13.7199083977,8653500.0,67.7188,64.627,64.6973,-0.3675,1.5016,1.8692,58.0323,71.4409,64.7366,26.3057,10.2395,50.849,30.4713,-24.315,84.0,0.0,-400260.9076,7974900.0
2000-01-07,2000-01-07,83.06,83.19,79.88,82.56,64.4341611577,1127400.0,120.5,126.94,119.44,126.56,36.0432132472,3162400.0,72.63,73.5,71.0,72.75,25.1263471713,4381267.0,39.25,39.69,38.56,39.13,10.7735499614,3855600.0,54.0,54.94,52.81,54.0,249.801737845,10458750.0,49.63,49.63,48.0,48.69,13.3604467977,5816400.0,67.1122,64.7222,64.6734,-0.4598,1.2943,1.7542,58.2132,71.4597,64.8365,15.5642,17.3316,51.3262,28.8178,-24.1178,80.0,0.0,297977.763,9102300.0
2000-01-10,2000-01-10,81.75,84.88,81.75,84.38,65.8545847685,803100.0,126.88,131.0,126.56,130.62,37.3133833727,2305100.0,72.75,73.38,71.5,71.5,24.6946229931,3149000.0,38.38,38.63,37.75,37.88,10.4293910692,4476600.0,54.94,54.94,53.56,53.81,248.922805804,6377250.0,48.94,48.94,46.69,47.0,12.896713893900001,5576400.0,66.2415,64.885,64.7808,-0.419,1.2305,1.6495,58.3037,71.555,64.9294,21.6854,37.4852,54.1416,27.6919,10.4061,76.0,4.0,844496.2934,9905400.0
2000-01-11,2000-01-11,85.0,86.25,84.56,84.81,66.19017935789999,808600.0,132.0,132.12,129.5,130.62,37.3133833727,1972800.0,70.0,70.44,68.25,69.81,24.1109319042,5603667.0,37.81,38.0,37.06,37.25,10.2559349876,3085400.0,53.38,54.38,52.88,53.13,245.77715429,7474500.0,45.56,46.94,45.56,46.0,12.622315725899998,5532200.0,65.1957,64.9894,64.9089,-0.365,1.1932,1.5582,58.4023,71.671,65.0367,37.2928,57.0616,54.8067,26.9646,37.9891,72.0,0.0,275127.0627,10714000.0
2000-01-12,2000-01-12,84.13,86.0,83.38,84.38,65.8545847685,916100.0,130.88,134.62,130.5,131.62,37.5990470028,2145800.0,69.69,70.88,69.5,70.25,24.262898814899998,4847867.0,37.31,38.63,37.31,38.31,10.547781728099999,3515000.0,53.56,55.0,53.44,55.0,254.42769595299998,8592750.0,46.0,47.06,46.0,46.5,12.7595148099,5533800.0,64.7575,65.0756,64.9949,-0.3476,1.1237,1.4713,58.8223,71.6905,65.2564,56.1141,73.7956,53.9638,25.9085,20.8552,68.0,0.0,58340.0398,9797900.0
2000-01-13,2000-01-13,85.13,85.13,82.88,84.5,65.9482390725,711000.0,132.0,133.19,130.0,132.44,37.8332911796,1659600.0,71.13,72.5,70.56,71.31,24.629000918000003,4612600.0,39.88,40.5,39.69,40.44,11.1342284805,5538500.0,55.0,56.06,54.69,55.63,257.342049561,9284250.0,47.0,47.88,46.88,47.56,13.050376867899999,6161000.0,64.9526,65.2893,65.0815,-0.326,1.0638,1.3898,59.1916,71.716,65.4538,69.0734,76.3631,54.1756,24.7652,7.0499,64.0,24.0,371180.0397,10508900.0
2000-01-14,2000-01-14,85.5,86.94,85.31,85.63,66.8301504353,607000.0,135.25,137.62,133.44,137.31,39.224473058499996,1817900.0,73.94,75.75,72.81,73.88,25.516625828400002,6487867.0,43.75,43.75,41.13,41.69,11.4783873727,5748700.0,56.5,58.56,56.44,58.0,268.305570278,16690500.0,49.94,50.56,48.81,50.5,13.8571074817,10219300.0,65.6149,65.5194,65.2405,-0.2517,1.0752,1.3269,59.7414,71.718,65.7297,74.8024,74.2486,56.2183,24.1753,40.6123,60.0,20.0,2511.3281,11115900.0
2000-01-18,2000-01-18,85.0,89.13,84.75,86.88,67.80571610199999,1095700.0,137.31,138.75,133.69,133.75,38.2075105351,1730200.0,73.94,74.5,70.25,71.0,24.5219333218,3531067.0,39.75,40.25,38.5,38.88,10.704718182999999,6372000.0,58.06,58.94,57.19,58.5,270.618549332,11787750.0,50.0,50.0,47.81,48.0,13.1711120618,8558000.0,66.1311,65.8286,65.4737,-0.1418,1.1496,1.2914,60.1196,71.8619,65.9908,73.6802,70.4289,58.426,24.1473,55.0278,56.0,16.0,-27507.85,12211600.0
2000-01-19,2000-01-19,86.88,89.38,86.75,87.56,68.3364238248,636900.0,134.62,137.19,134.5,135.69,38.7616979776,1726100.0,72.25,75.38,72.25,74.13,25.602970664,10489800.0,38.38,38.94,36.5,36.75,10.1182714307,8570300.0,58.0,60.13,57.88,59.75,276.400996967,14664000.0,47.88,49.19,46.69,48.0,13.1711120618,7734200.0,66.6886,66.1025,65.7339,-0.0434,1.2372,1.2806,60.3385,72.0863,66.2124,71.6435,70.2531,59.6189,24.179,68.7709,52.0,12.0,-272096.8234,12848500.0
2000-01-20,2000-01-20,87.0,87.94,84.88,85.94,67.1657450247,621800.0,134.12,137.25,133.25,134.81,38.5103139831,2240500.0,75.38,76.0,72.75,74.06,25.57879411,5180200.0,36.81,37.31,35.81,36.38,10.0164003986,7482600.0,59.88,60.06,57.19,58.61,271.12740472400003,10186500.0,47.5,48.0,46.0,47.08,12.9186657473,6124500.0,66.8759,66.2578,65.8641,-0.0658,1.1983,1.2641,60.6962,72.1283,66.4122,67.441,61.641,55.8144,23.5493,29.0662,48.0,8.0,-463107.2809,12226700.0
2000-01-21,2000-01-21,86.19,86.19,84.56,85.69,66.9703594503,542500.0,134.75,134.75,131.5,132.5,37.8504309974,1982500.0,73.88,74.0,72.63,72.94,25.1919692464,3440400.0,36.5,37.63,36.06,36.63,10.085232177,7008300.0,58.19,58.5,55.88,56.44,261.08907562900004,11609250.0,46.5,46.69,45.56,45.69,12.537252293900002,6419700.0,66.9873,66.4388,65.9647,-0.1004,1.1386,1.239,61.2706,72.0315,66.651,60.0746,48.3298,55.1815,22.8461,4.8256,44.0,4.0,-253429.3668,11684200.0
2000-01-24,2000-01-24,87.5,87.5,81.5,81.75,63.8910827992,712900.0,133.5,134.5,125.44,128.0,36.5649446616,2095500.0,74.37,74.56,72.19,73.0,25.2126920069,4306067.0,37.0,37.44,35.44,35.88,9.87873684171,4770000.0,57.0,57.0,54.63,55.19,255.306627993,8574000.0,45.75,46.25,44.5,44.56,12.2271823641,6307400.0,66.7068,66.5196,65.7762,-0.3246,0.8332,1.1579,61.3829,71.9866,66.6847,45.125,25.4043,46.2753,21.2832,-47.9878,40.0,0.0,-906921.0335,10971300.0
