date,GS_open,GS_high,GS_low,GS_close,GS_aclose,GS_volume,MS_open,MS_high,MS_low,MS_close,MS_aclose,MS_volume,JPM_open,JPM_high,JPM_low,JPM_close,JPM_aclose,JPM_volume,WFC_open,WFC_high,WFC_low,WFC_close,WFC_aclose,WFC_volume,C_open,C_high,C_low,C_close,C_aclose,C_volume,BAC_open,BAC_high,BAC_low,BAC_close,BAC_aclose,BAC_volume
1999-12-17,80.19,80.56,78.44,80.19,62.5844886536,542100.0,126.0,131.88,125.88,128.06,36.4704005091,3378600.0,73.25,74.88,72.06,72.75,24.9818415977,6655667.0,39.94,39.94,39.94,39.94,10.9965649236,6781800.0,53.94,54.94,53.44,54.5,252.114716899,13310250.0,50.0,50.44,48.38,48.75,13.3769106878,12621200.0
1999-12-20,82.0,83.63,80.75,81.88,63.903453435,1302600.0,131.75,132.62,128.25,130.33,37.1168772322,2315700.0,73.38,73.94,72.25,72.25,24.8101450919,4137067.0,39.94,40.94,39.88,40.66,11.1948004455,3656700.0,54.5,55.38,53.25,54.42,251.74464025,9650250.0,48.94,49.63,47.94,48.0,13.1711120618,6203500.0
1999-12-21,80.63,83.0,79.5,80.94,63.1698280536,1189900.0,128.5,131.5,126.75,128.88,36.7039295456,1874300.0,72.38,76.5,72.12,75.0,25.7544758739,5240000.0,40.31,41.31,39.5,40.0,11.0130845504,5215700.0,53.06,56.0,53.0,56.0,259.053654061,11449500.0,47.81,51.06,47.63,49.31,13.5305736618,7993100.0
1999-12-22,81.0,81.38,79.13,79.69,62.1942623869,526800.0,130.0,130.38,128.88,129.88,36.9887210536,1013300.0,75.0,75.63,74.0,74.88,25.7132687125,2252267.0,40.0,40.69,40.0,40.44,11.1342284805,2767100.0,55.44,55.44,54.31,55.0,254.427695953,7947750.0,49.5,50.13,48.44,48.5,13.3083111458,6098100.0
1999-12-23,81.0,82.44,80.69,81.0,63.2166552056,532000.0,131.0,132.0,130.81,131.5,37.4500832965,1097700.0,76.25,77.94,76.06,77.5,26.6129584031,2891600.0,40.81,41.56,40.31,41.5,11.426075221,2716100.0,55.81,56.31,55.63,55.63,257.342049561,7540500.0,49.19,49.5,49.13,49.38,13.5497815336,5265000.0
1999-12-27,80.5,82.88,80.5,82.06,64.043934891,389200.0,132.5,134.75,131.62,131.62,37.4842582774,1326800.0,77.5,79.19,76.5,76.5,26.2695653914,2541200.0,41.06,42.0,40.81,40.88,11.2553724105,2540600.0,56.06,56.63,54.38,54.5,252.114716899,6745500.0,49.75,50.63,49.0,49.0,13.4455102298,5414500.0
1999-12-28,82.06,85.69,82.06,85.0,66.3384653392,821800.0,132.12,135.44,132.12,134.25,38.2332599434,1066900.0,76.69,77.37,76.31,76.44,26.2489618107,1502200.0,41.13,41.44,40.75,41.19,11.3407238158,2488200.0,54.56,55.63,54.38,55.5,256.740675007,4695000.0,49.06,49.69,49.0,49.31,13.5305736618,3632700.0
1999-12-29,85.5,88.19,85.38,88.0,68.6798229395,794800.0,134.0,140.19,133.94,138.94,39.5689321157,969200.0,77.19,78.19,76.94,77.56,26.6335619838,1533467.0,41.25,41.44,40.25,40.56,11.1672677341,2203000.0,55.63,55.81,54.63,54.88,253.87258098,4152000.0,49.5,50.25,49.19,49.88,13.6869806176,4057600.0
1999-12-30,90.0,92.88,89.56,92.19,71.9499190544,969200.0,138.94,142.38,138.88,141.25,40.2268004991,832200.0,77.56,78.69,76.75,78.06,26.8052584896,1277400.0,40.63,41.13,40.5,40.63,11.1865406321,1328800.0,55.0,55.5,54.31,55.31,255.861742966,3805500.0,50.0,50.88,49.75,50.69,13.9092431336,3368100.0
1999-12-31,91.94,94.81,91.5,94.19,73.5108241212,383500.0,141.25,142.88,140.5,142.75,40.653987761,285000.0,78.0,78.38,77.69,77.69,26.6782030753,773600.0,40.56,40.63,40.13,40.44,11.1342284805,1178400.0,55.25,55.94,54.88,55.69,257.619607048,1953000.0,50.56,50.94,50.0,50.19,13.7720440496,2643800.0
